Column1.1,Column3
8/30/2021,109.82
8/31/2021,109.87
9/1/2021,109.89
9/2/2021,109.93
9/3/2021,109.99
9/6/2021,110.03
9/7/2021,110.05
9/8/2021,110.08
9/9/2021,110.1
9/10/2021,109.87
9/13/2021,109.87
9/14/2021,109.85
9/15/2021,109.94
9/16/2021,110.03
9/17/2021,110.09
9/20/2021,110.17
9/21/2021,110.2
9/22/2021,110.28
9/23/2021,110.39
9/24/2021,110.38
9/27/2021,110.38
9/28/2021,110.4
9/29/2021,110.45
9/30/2021,110.49
10/1/2021,110.49
10/4/2021,110.51
10/5/2021,110.55
10/6/2021,110.62
10/7/2021,110.69
10/8/2021,110.72
10/12/2021,110.74
10/13/2021,110.77
10/14/2021,110.81
10/15/2021,110.87
10/18/2021,110.89
10/19/2021,110.91
10/21/2021,111.02
10/22/2021,111.06
10/25/2021,111.09
10/26/2021,111.13
10/27/2021,111.15
10/28/2021,111.15
10/29/2021,111.21
11/1/2021,111.24
11/2/2021,111.29
11/3/2021,111.36
11/4/2021,111.44
11/5/2021,111.55
11/8/2021,111.59
11/9/2021,111.65
11/10/2021,111.7
